Text,Language
Seerrii yakkaa meeshaa dudhaalee hawaasa tokko (adda addaa) kan calaqisiisuu fi tarkaanfachiisuu dha.,Afaan Oromo
Yakkii yeroo kamiyyuu hawaasa keessatti uummamuu kan danda?u waan ta?eef kanaan wal-qabate adabbii yakkamtoota irratti fudhatamuun isaa waan haafu miti.,Afaan Oromo
Kana taanaan akkaata murtiin adabbii ittiin murtaa?u waliin wal qabatee qabxiilee ka?uu qaban keessaa kaayyoon seera yakka nageenyafi tasgabbii hawaasa eeguuf akka meeshatti kan gargaaru ta?uu isaati.,Afaan Oromo
"Hawaasicha kan eeguus yakkii akka hin raawwatamne ittisuun yoo ta?uu, kanas karaa ittin galmaan gahu keessaa tokko adabbiidha. Raawwattoonni yakka adabamuun isaanii, yakka biraa raawwachuu irraa akka of qusatan kan isaan taasisuu yommuu ta?u, darbees namoota yakka raawwataniifis akeekkachiisa ta?a.",Afaan Oromo
Gama yakkoota muraasaatiin adabbiin hidhaa yookiin du?aa kan raawwatamu yoo ta?es yaadni inni duraa balleessitoonni yeroodhaaf ykn itti fufinsaan hawaasa irratti yakka akka hin raawwanne ittisuudha.,Afaan Oromo
"Akkas yommuu ta?us, adabbii du?aa irraa kan hafe balleessitoonni adabbiin hidhaa umurii guutuu itti murta?e yoo ta?anillee adabbii isaanii otoo hin fixiin korooraan gadi lakkifamuu ni danda?u.",Afaan Oromo
Gama yakkoota tokko tokkootiinis murtiin adabbii otoo hin kennamiin yookiin adabbiin yoo murta?es otoo hin raawwatamiin balleessitoonni daangaadhaan gadi lakkifamu ni danda?u.,Afaan Oromo
Kunis balleessitoonni jireenya nagaa akka gaggeessan kan taasisu yoo ta?uu; seerrii yakkiichaa balleessitoonni badii isaaniirraa akka barataniif iddoo ol?aanaa kennuu isaa agarsiisa.,Afaan Oromo
"Seeronni yakkaa biyyoota adda addaa adabbiilee gocha yakkaa rawwatamu hordofani dhufan kan of-keessatti kaa?an yoo ta?ellee adabbii hangam, gochafi yakkamaa akkamiitiif murtaa?u akka qabu jalamuranii hin kaa?ani.",Afaan Oromo
Seeronni yakka kun Abbootii Seeraatiif aangoo adabbii murtessuu bal?aa ta?ee kan kennaan waan ta?eef gochaafi yakkamaa wal-fakkaatu irratti adabbii gara garaa yeroo murtaa?u qabatamaan mul?achaa turera.,Afaan Oromo
Rakkoo kanarraa kan ka?ee adabbii yakkamtoota irratti kennamu sirrii fi kan wal-fakkaatu gochuudhaaf /dhimmoota walfakkaatan irratti adabbii walfakkaata karaa itti murteessan mijeessuuf/ Manni Murtii Waliigalaa Federaalaa Qajeelfama Adabbii Itoophiyaa 1/2002 baasudhaan Caamsaa Bara 2002 irraa ka?ee hojiitti galamee jira.,Afaan Oromo
"Haata?u malee qajeelfamni kun rakkoo adda addaatiif kan saaxilamee ta?uu isaa hojii keessatti waan hubatameef gama tokkoon rakkoolee qabatamaan mul?atan kana furuudhaaf, karaa biraatiin immoo yakkoota muraasa sadarkaa fi gulantaa hin baaneef sadarkaa fi gulantaa baasuun barbaachiisaa ta?uun isaa waan itti amanameef qajeelfamni dur ture fooya?ee akka bahu taasifameera.",Afaan Oromo
"Caasseffamni moojulii kanaa boqonnaa Sadiitti kan qoqqoodame yoo ta?uu boqonnaa tokkoffaa keessatti waa?ee adabbii akka waliigalaatti kan ilaalamu ta?e walitti dhufeenya adabbii fi bulchiinsii sirna haqaa qaban, murtessuu adabbii bu?aa qabeessa gochuudhaaf seeroota fi imaammata biyya keenya keessatti diriiran ni ilaalamu.",Afaan Oromo
Kanamalees adabbii murtessuu wajjiin wal-qabatee muuxannoowwan biyyoota adda addaa maal akka fakkaatu ni ilaalamu.,Afaan Oromo
"Boqonnaa Lamaffaa keessatti qajeeltoowwan adabbii seera yakka Itoophiyaa, rakkowwaan qajeelfama adabbii Itoophiyaa 1/2002 keessatti mul?atan fi dhimootni waligalaa qajeelfama adabbii isaa haaraa keessatti hammataman kan ilaalaman ta?a.",Afaan Oromo
Kanamalees yakkoota qajeelfama adabbii kanaan sadarkaa fi gulantaan baheef keessaa kanneen qajeelfama adabbii 1/2002 keessatti sadarkaan baheef qajeelfama isa haaraa keessatti akka fooyya?an taasifaman boqonnaa kana jalatti haammatamaniiru.,Afaan Oromo
"Boqonnaa sadaffaan guutumaan guutuutti yakkoota haaraa sadarkaan isaaniif qopha?ee irratti kan xiyeefate yommuu ta?u, waa?ee sababoota adabbii cimsaniifi salphisan boqonnaa kana jalatti gadifageenyaan xiinxalameera.",Afaan Oromo
